t,Reelin_input,ApoER2_Dab1_Obs,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
11,0,0.985923951102367,-5.09010448415226e-05,-9.75050707326357e-07
11,0.00012207,1.00445886650618,0.000198178269958914,1.87984373947398e-06
11,0.00024414,1.03825005625065,-0.000217806289346557,1.00268019797161e-05
11,0.00048828,0.972273829464476,0.000108270750915228,1.00949029133471e-05
11,0.00097656,0.93619043993095,0.000190738892927297,1.06251271262932e-05
11,0.0019531,0.828417096543412,2.0924609982699e-05,1.2885638346194e-05
11,0.0039062,0.691381833162554,0.000769868508479886,1.3798195790794e-05
11,0.0078125,0.555746257227263,0.000890531898016399,1.71033628673455e-05
11,0.015625,0.461894383377391,0.00136680935857879,1.84864539957747e-05
11,0.03125,0.311087938657358,0.00205928416961681,2.15414694781753e-05
11,0.125,0.103850220083198,0.00426690816133606,3.21434128472286e-05
11,0.25,0.0661468438671655,0.00554153129507193,3.7439273026131e-05
11,0.5,0.083515479347175,0.0068493079063929,3.75048118103332e-05
11,1,-0.00902723684301742,0.00887064383535532,3.84582201996293e-05
