t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,1342.74938452354,0.028325128895043,7.03829889259943e-06,0,0
150,993997.659477694,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,371671.455169337
350,776418.311707682,NaN,NaN,NaN,NaN
400,NaN,NaN,0.00868511141853888,4.99216932779895e-07,232725.945157418
500,1131212.34251372,0.0476521143732379,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,110769.775458516
700,512400.353647846,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,2.77010610741516e-06,NaN
800,NaN,NaN,0.00206083701376584,NaN,NaN
850,NaN,NaN,NaN,NaN,256429.243113479
900,167678.564263404,NaN,NaN,NaN,NaN
1000,279723.582082177,0.0534277902159314,0.00222236118181056,3.09064358004929e-06,53912.2285588613
1500,80480.6098178345,0.0501424804336832,0.000980406409093938,7.21185334515326e-06,57408.0695233311
2000,27662.3593754083,0.0462159770732466,0.000275801808214432,5.82014178822713e-06,18701.7901689702
2500,NaN,NaN,0.000174925682711716,5.20856855409373e-06,NaN
3000,NaN,0.0332658957323838,NaN,6.39014827757657e-06,NaN
3500,NaN,0.0351124765540891,4.88808719588067e-05,5.59540254471987e-06,NaN
4000,NaN,NaN,4.73576457740735e-05,NaN,NaN
4500,NaN,0.0436022900895497,NaN,7.30651742589951e-06,NaN
5000,NaN,NaN,3.31368674324809e-05,8.6138389424182e-06,NaN
5500,NaN,0.0501512874580104,NaN,NaN,NaN
6000,NaN,NaN,3.65519416060611e-05,5.86029795019678e-06,NaN
7000,NaN,0.0483666026744532,NaN,NaN,NaN
7500,NaN,NaN,NaN,2.20391390504105e-06,NaN
8500,NaN,0.0358236873586932,NaN,2.16336844388045e-06,NaN
