t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,7428.8609671641,0.0848713936875432,1.27073347087357e-05,0,0
35,5838238.95113138,NaN,NaN,NaN,10266775.6823723
65,NaN,NaN,NaN,NaN,7513014.41396526
75,15005452.9037031,NaN,NaN,NaN,NaN
100,11321638.6879292,NaN,NaN,NaN,2272357.73455644
150,3898530.45178194,NaN,NaN,NaN,718948.03325041
200,3879570.2097002,0.0349783802214182,NaN,NaN,192634.56371536
250,945361.743581288,NaN,0.0179026183613333,NaN,85540.9772719745
300,514834.871205047,NaN,NaN,NaN,NaN
350,NaN,NaN,NaN,NaN,4044.77694994094
400,76678.4109446008,NaN,NaN,3.57636950790493e-06,4476.13126985667
450,45018.7099563302,0.0674071635836676,NaN,NaN,2556.04487334297
500,NaN,NaN,0.00045666478843342,NaN,NaN
550,29220.6612552011,NaN,NaN,NaN,2376.23593981517
650,15940.6778515342,0.0705016692841067,NaN,NaN,2588.89779017911
800,NaN,NaN,0.000123493757851305,NaN,NaN
850,NaN,NaN,NaN,9.31784270102766e-06,NaN
900,NaN,0.0698507959831166,NaN,NaN,NaN
1000,NaN,0.0312820916415987,0.000186306449538549,NaN,NaN
1500,NaN,0.0241780397468599,0.00011169480902102,9.35834996821993e-06,NaN
2000,NaN,0.0517382182685824,0.000110537811763888,6.07301892865694e-06,NaN
2500,NaN,0.0573996850307465,6.07668758383735e-05,1.52531160198377e-05,NaN
3000,NaN,0.0509200521057212,NaN,9.99392077500534e-06,NaN
3500,NaN,NaN,NaN,7.37398012732693e-06,NaN
4000,NaN,NaN,NaN,6.69582332422766e-06,NaN
5000,NaN,NaN,NaN,5.70360021575305e-06,NaN
6000,NaN,NaN,NaN,1.12692781706281e-05,NaN
7500,NaN,NaN,NaN,1.95673142826492e-06,NaN
8500,NaN,NaN,NaN,1.8358092335026e-06,NaN
