t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,22516.688086398,0.0455625927493108,1.11257077228358e-05,0,0
55,NaN,NaN,NaN,NaN,2899892.64320919
80,4221387.16282809,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,4492832.63968257
150,5174326.89574401,NaN,NaN,NaN,1325221.50580118
250,2927216.60085367,NaN,0.0199152337577138,NaN,937245.576568383
300,NaN,0.0125865936146505,NaN,NaN,702874.587263975
350,3088509.40217174,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,2.29526689632245e-06,172611.989961811
450,925365.654410781,NaN,0.0129160611319883,NaN,197124.49070958
550,213366.732329146,0.027104362371174,NaN,NaN,103306.607781837
650,NaN,NaN,NaN,NaN,51994.4994551714
700,105365.43993254,NaN,0.00206585536812054,NaN,NaN
800,NaN,NaN,NaN,NaN,11296.7549111653
850,78240.9856894211,0.0319954936794149,NaN,6.13670638299548e-06,NaN
950,NaN,NaN,NaN,NaN,9249.87841174003
1000,24395.9137731095,0.0323490494864688,0.00024311373679224,NaN,6215.23163030747
1500,26173.7194856533,0.0379294920267578,9.58678661784725e-05,1.6477509297342e-05,NaN
2000,NaN,0.0286204267524804,0.000109191713194077,1.02233121438003e-05,NaN
2500,NaN,0.0756098648502657,7.39358861394963e-05,NaN,NaN
3000,NaN,0.0624604392918925,NaN,1.07272588719837e-05,NaN
3500,NaN,0.0191669919891232,NaN,8.32811042545469e-06,NaN
4000,NaN,NaN,NaN,1.74631918841795e-05,NaN
4500,NaN,0.0323263386442604,NaN,NaN,NaN
5000,NaN,NaN,NaN,8.29446462923148e-06,NaN
6000,NaN,NaN,NaN,1.05011131873919e-05,NaN
7500,NaN,NaN,NaN,3.72727790602082e-06,NaN
8500,NaN,NaN,NaN,2.06955108045706e-06,NaN
