t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,678.489334895875,0.0370172984971531,7.67492145251964e-06,0,0
100,1522362.23085697,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,1076645.50508489
200,897662.215444634,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,1706856.32958615
300,929603.449508614,NaN,NaN,NaN,NaN
350,NaN,NaN,0.0103680847589669,NaN,NaN
400,NaN,0.0259192119510223,NaN,NaN,697680.476141536
450,805866.05289891,NaN,NaN,1.91811711063743e-06,NaN
550,514468.868002441,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,433546.124525878
750,248925.552351893,0.023965992978863,0.00658282803395632,NaN,171599.397952804
900,242861.529813669,NaN,NaN,5.13532603280732e-06,NaN
950,NaN,NaN,NaN,NaN,101278.224518071
1000,144119.8191925,0.0446599371348406,0.00141055255539785,NaN,39255.2369125378
1500,29805.7540619183,0.0416982918977118,0.000443124011234283,1.4871647839849e-05,23650.2984437125
2000,NaN,0.0511527508364133,0.000157129826403035,8.21980574064437e-06,3457.17913904522
2500,NaN,0.0666153649112807,9.42788056385368e-05,1.00881000562261e-05,1789.38375835001
3000,NaN,NaN,NaN,1.09442695421553e-05,NaN
3500,NaN,0.0319621249465523,7.52874961113131e-05,NaN,NaN
4000,NaN,0.0366223208842933,7.81589968470767e-05,9.25310553961769e-06,NaN
5000,NaN,0.0755842650378778,4.86727811517502e-05,5.63346396519377e-06,NaN
6000,NaN,0.0362105182174559,NaN,6.86946364884212e-06,NaN
7000,NaN,NaN,NaN,2.77137429498346e-06,NaN
8500,NaN,NaN,NaN,2.13471743818335e-06,NaN
