t,pEGFR_Obs,Akt_Obs,pAkt_Obs,pS6_Obs,EGF_EGFR_Obs
0,122.539004331264,0.0505665486860484,9.71454011017179e-07,0,0
300,NaN,NaN,NaN,NaN,100884.802941306
350,293782.666502117,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,1.59832123376624e-07,NaN
450,NaN,0.0419356835544752,0.00218444478615479,NaN,NaN
600,NaN,NaN,NaN,NaN,148519.427211947
700,116544.167294116,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,1.0770346065515e-06,NaN
900,NaN,0.0889414559898805,0.000725725089203932,NaN,47881.3617692088
1000,126071.014176399,NaN,NaN,2.39274559767188e-06,69471.7986376545
1500,37523.3685290619,0.0454340047121855,0.000603986848366073,1.93168942830467e-06,23122.7030196008
2000,21181.1343471279,0.0322594741493184,0.000561598318996598,4.31525115084517e-06,11306.459632225
2500,6429.07106239613,0.0519874559387239,0.000171706467305639,3.42131446424163e-06,3533.93702480773
3000,6733.50216812192,0.0444223185476229,0.00010458602441261,3.82344880948312e-06,2267.18061264247
3500,2814.98344333767,NaN,NaN,3.99573690590242e-06,1298.89548016912
4000,NaN,0.0295889083371153,4.16048576311886e-05,NaN,NaN
4500,1872.63105624435,NaN,NaN,2.98552394196247e-06,630.362723059348
5000,NaN,0.0306136124252103,2.36115863209716e-05,NaN,NaN
5500,787.250267122267,NaN,NaN,1.35499697457849e-06,966.651099726967
6000,NaN,0.0573103367740297,7.34033192845136e-06,9.27106519302576e-07,NaN
6500,1299.7801529775,NaN,NaN,NaN,NaN
7500,NaN,0.037828463298777,2.04238495945688e-05,1.59430519295983e-06,NaN
8500,NaN,NaN,NaN,1.24073828510934e-06,NaN
