t,STAT3_Obs,nSTAT3_Obs,Compound_1_Obs
0,48.6163694791556,49.419043953457,35.1753070359545
6.5,NaN,NaN,70.1544218585604
7,35.1465074337395,NaN,NaN
7.5,NaN,51.2024835035609,NaN
15,30.4122970632294,195.440323173258,127.058942419573
20,34.8209347807576,NaN,148.588021709421
25,NaN,67.2767217022099,NaN
30,57.0011808440239,NaN,141.925463507858
35,NaN,79.6149223875581,69.561534444484
40,24.2965439956199,NaN,NaN
45,NaN,87.4971105235511,137.67340073882
50,43.2323861791383,NaN,NaN
55,NaN,74.0110571672188,NaN
60,30.1513746041378,NaN,44.4414341475801
65,NaN,76.0074833402594,NaN
70,NaN,NaN,50.5458703079446
75,28.8368941281799,NaN,NaN
80,NaN,65.4304381515652,NaN
90,30.8237469921517,NaN,94.6023106935775
100,70.8166279515475,109.480596008081,67.5261453007085
150,21.3672766355517,55.8180177404328,70.5287205671094
