t,STAT3_Obs,nSTAT3_Obs
0,43.2605372597984,40.3954716608723
9.5,NaN,65.429914567525
10,44.5733664417247,NaN
20,64.1615153276086,108.369935627207
30,22.3943494264859,97.1901029289787
40,56.6200360360981,99.6326908492288
50,NaN,83.0522062232926
55,51.3658538130346,NaN
65,NaN,49.1172747653517
70,43.0206128103921,NaN
80,NaN,53.0965284204503
85,30.4102559811422,NaN
95,NaN,48.7829504844563
100,46.3889231832914,69.9326421658416
150,76.2365829162977,33.6510887224061
200,60.5375685639944,64.2489303760914
