t,input_il6,STAT3_Obs,nSTAT3_Obs
0,2.5,43.8122063598746,31.5952721234818
0,2.5,52.5728881924455,26.477105282472
0,2.5,58.0595419532536,47.517837045467
0,2.5,71.7962583251388,32.1748182581156
0,2.5,106.744075298049,20.3221729718349
0,10,36.8748167774673,52.5484916634937
0,10,48.3744223651185,33.0110415032802
0,10,64.1693531019292,49.9441908691616
0,10,67.2700913695809,42.661203264429
0,10,89.0939684802179,27.958958406393
0,60,29.2066258603132,52.8326977482972
0,60,41.2309297182637,25.2789144688873
0,60,51.2724344875397,27.3696281669101
0,60,64.8956719968435,45.7953253158618
0,60,70.475912011354,64.2659024886792
0,120,47.9698664052928,31.7990319923659
0,120,59.3404036439874,36.2778715312174
0,120,65.1991112525217,69.1621729470379
0,120,68.9939764909348,57.8627432964447
0,120,102.50780877018,29.6799841816623
