t,STAT3_Obs,nSTAT3_Obs
0,93.5375393006664,52.0297476992772
6,NaN,100.777764837372
7.5,37.2048835066933,NaN
10,NaN,152.831993731908
15,22.121107244107,NaN
20,NaN,101.117224681894
25,33.9437007199536,94.5900183713104
30,NaN,77.2300309795746
35,34.7314368692764,NaN
40,NaN,133.959466095577
45,37.9692385480865,NaN
50,NaN,61.8873911436317
55,40.2576186942463,NaN
60,NaN,58.7890973624051
65,60.5990796472162,NaN
75,NaN,131.754549826432
80,51.4364547623263,NaN
90,NaN,68.0182637471098
100,44.8292370540384,74.9412930395832
150,27.4100058876832,NaN
