t,STAT3_Obs,nSTAT3_Obs
0,64.9920701365857,28.6740217074797
15,20.7053004382943,114.84524541447
30,NaN,95.0356242239225
35,77.7684118858807,NaN
45,NaN,46.2738850558862
50,51.7092486792262,NaN
60,NaN,30.8973684022806
70,34.7121819167644,NaN
75,NaN,60.0956148355871
90,29.4814499104683,NaN
95,NaN,85.0743343089984
100,55.607249927471,92.9172392995363
150,28.7400909259391,41.0197573145403
200,59.9672672155007,41.033031994389
250,54.4439428275686,46.1159062999725
300,28.41534631537,47.3097964372714
350,66.6091463482708,25.864439157869
400,31.5869025542476,NaN
