t,tpSTAT3_Obs,nSTAT3_Obs
0,1.1128632692853,35.2916884581343
7,NaN,83.3939168470804
7.5,47.2478951867019,NaN
15,54.9219683504624,145.453335868738
20,NaN,205.200809461248
25,26.269049824133,NaN
30,13.9813313792368,71.1477580788599
40,9.39440360949179,113.125153990301
50,4.37189265189792,73.3453988641672
60,NaN,59.2757828436259
65,18.8783619395222,NaN
75,NaN,49.6088462486515
80,12.6245026438028,NaN
90,NaN,33.976656056891
95,9.28002811630393,NaN
100,9.1423985359101,123.149918845187
150,9.41108412247798,58.498392390894
