t,input_il6,STAT3_Obs
37,0,51.0143403633743
37,0,51.2020684467116
37,0,58.1252496129625
37,0,62.0122579264633
37,0,65.4253701353279
37,0,75.2593582275085
37,0.0005,37.0215138302219
37,0.0005,37.5038178805821
37,0.0005,39.7749352182197
37,0.0005,42.8917299458334
37,0.0005,43.3742989184393
37,0.0005,47.4219412335493
37,0.0005,47.9885169325021
37,0.0005,61.707512833078
37,0.005,48.1841023238706
37,0.005,56.4441942875773
37,0.05,39.6063495950007
37,0.05,41.0818202877014
37,0.05,41.9616273408538
37,0.05,51.3842954978511
37,0.05,67.0638108069562
37,0.05,67.2346236907412
37,0.1,41.4421775155043
37,0.1,62.0631918975703
37,0.5,41.8234479779124
37,0.5,43.7100834553159
37,0.5,47.9611715746341
37,0.5,55.9040024885558
37,0.5,64.9879734766407
37,0.5,80.4640174116174
37,1,35.7002227348412
37,1,38.1732253163833
37,1,40.543722106096
37,1,41.3456104140068
37,1,41.3876705426708
37,1,46.9999317030803
37,1,61.9642151312543
37,1,69.5401241163122
37,2.5,44.472277740461
37,2.5,56.3326928462288
37,2.5,85.9941620082877
37,2.5,138.975620910176
37,5,39.0624523142908
37,5,49.94496794358
37,10,21.8478404584644
37,10,25.4698492953825
37,10,31.7041076806698
37,10,55.3766381402477
37,10,56.796294589501
37,10,68.7643995684782
37,25,21.6917162696796
37,25,32.3344643502367
37,25,52.3533003559985
37,25,70.527598678804
37,25,73.8124060940556
37,25,91.480227732488
37,50,42.4260283961843
37,50,57.4828831078727
37,100,22.0856155401885
37,100,29.6157008636974
37,100,32.8072432625218
37,100,42.0889503141246
37,100,45.652268109115
37,100,47.4923222070098
37,100,49.2393829158082
37,100,57.1914041828473
37,200,27.7363656093849
37,200,35.9188206143
37,200,38.9837271705213
37,200,40.1401026210864
37,200,52.7798271665552
37,200,53.5117292654872
37,500,27.0127967207849
37,500,33.6779666063633
37,500,34.3956960508767
37,500,46.0567185581862
37,500,47.6135644205496
37,500,50.4362241535651
