t,STAT3_Obs,nSTAT3_Obs
0,80.0720406740294,34.2503015749709
15,NaN,173.279383692163
20,29.4508039420806,NaN
30,NaN,117.925801694619
40,31.9321056151111,NaN
45,NaN,129.42232902451
60,28.056393547798,145.654218718401
80,31.5897853305999,158.860742355212
95,NaN,144.242707552253
100,38.2256589567555,130.411754471656
150,44.1488083620312,124.999436472902
200,29.9179933823888,132.90542888414
250,34.305648774167,54.9028924610133
300,39.0216366235659,72.266012665825
350,34.6751645917257,120.788340936297
400,31.4274672588805,NaN
