t,input_il6,Compound_1_Obs
770,0.1,48.3320469668974
770,0.1,43.6607442627079
770,0.5,22.5340290918237
770,0.5,22.9321058852862
770,1,41.324790788702
770,1,72.3284672178204
770,2.5,63.3859757897636
770,2.5,92.3643691911468
770,5,60.4064242211059
770,5,88.7133580716132
770,10,65.9072583356665
770,10,56.8372539283822
770,25,71.549709674977
770,25,83.4161282428441
770,50,77.2922715543403
770,50,52.1490011150326
770,100,88.2115122691181
770,100,98.0403063044741
770,500,97.9246956963857
770,500,70.8027020887376
