t,STAT3_Obs,nSTAT3_Obs
0,61.5124194836922,41.0603316196793
15,NaN,183.621726849236
20,17.1563102618936,NaN
30,NaN,109.183335438023
40,45.8653698822142,NaN
45,NaN,84.5940927245433
60,38.8899860837045,166.259627639429
75,NaN,112.219790916752
80,23.6493294002167,NaN
95,NaN,62.6484075565711
100,26.3397451502135,104.488285289552
150,30.8819482939254,145.471798786363
200,40.474835732787,92.2282479004241
250,36.1538407277026,70.7269105676245
300,61.200506232305,66.1308334650108
350,47.1522605189696,45.1610211800017
400,35.38508300387,NaN
