t,input_il6,nSTAT3_Obs
320,0.1,26.7198285667565
320,0.1,42.0037849094782
320,0.5,33.5145658971958
320,0.5,51.0534649117748
320,1,30.491714376199
320,1,35.3825696390309
320,2.5,42.1875734436495
320,2.5,85.6530444859668
320,5,34.7757676387895
320,5,88.1785082186144
320,10,51.9066189454841
320,10,70.5507360934033
320,25,46.1434309458271
320,25,73.4399672635283
320,50,38.7126563513606
320,50,62.839768560153
320,100,62.5913325266994
320,100,85.069678219052
320,500,127.297995438471
320,500,153.19806507715
