t,input_il6,nSTAT3_Obs
15,0.1,41.3956371293227
15,0.1,45.125711464601
15,0.1,49.5061299053224
15,0.1,50.5799083630195
15,1,31.2893702981469
15,1,35.3067191346147
15,1,37.5680361046869
15,1,57.0851572254164
15,5,39.9453104631412
15,5,51.4867433497479
15,5,61.0865349688496
15,5,85.0381693945691
15,10,42.890094786079
15,10,66.2832283655629
15,10,66.8951687467499
15,10,79.0369310736071
15,50,60.2813203249117
15,50,123.405095803408
15,50,129.476527290625
15,50,132.664439383744
15,100,133.728920910063
15,100,157.463609013791
15,100,186.208076407225
15,100,190.917279879951
15,500,109.281714240843
15,500,137.316495374029
15,500,177.692815620665
15,500,413.311469941119
