t,ApoER2_re_Dab1_Obs,SFK_Obs
0,0.189318355823589,3.68937321857068e-10
25,-0.046904851853169,-1.68845514575145e-12
50,0.40879251854282,-7.420823154889e-11
75,NaN,-1.11058773073363e-11
80,0.551987840356431,NaN
100,0.655324814468307,-2.34119743081588e-11
150,0.755085008596843,-1.37975276830457e-11
200,0.82515965449848,3.18235214838201e-12
250,1.03878166685624,1.11258211010494e-11
300,NaN,-2.96563407201327e-12
350,1.1238635795277,1.1893628297739e-11
400,1.24835407095204,NaN
450,NaN,2.06207098111532e-10
500,1.32766846487447,NaN
600,1.49243267296813,2.45931797098619e-09
