t,Reelin_input,ApoER2_re_Dab1_Obs,SFK_Obs
10,0,1.24017039084331e-06,0.00122323086692587
10,0.00012207,2.24119103290014e-06,0.00111065774910279
10,0.00024414,1.10568124707089e-06,0.00117580206233477
10,0.00048828,2.09986012906865e-06,0.00120757910784734
10,0.00097656,5.82423500751744e-06,0.00106111048769399
10,0.0019531,1.93480686684344e-06,0.00101711708457202
10,0.0039062,6.53477774605021e-06,0.000979961357545138
10,0.0078125,2.04356820102016e-06,0.000672147656450471
10,0.015625,3.71500797099419e-06,0.000768809888157862
10,0.03125,2.64214975976979e-06,0.000476241016908432
10,0.125,1.35738004438986e-05,0.000149723721304864
10,0.25,2.15495000700084e-05,5.82909629125578e-05
10,0.5,4.21892336454923e-05,7.92100296280606e-05
10,1,7.77014555449572e-05,7.48521120496758e-05
