t,SFK_Obs,ApoER2_Dab1_released_Obs
0,3.59335272193303e-10,5.03585526970469e-09
10,NaN,3.8926489587349e-09
20,NaN,4.5429839496824e-09
25,3.07332189923201e-10,NaN
35,NaN,5.0375633989631e-09
50,NaN,4.47666372797674e-09
55,3.09721966639821e-10,NaN
65,NaN,3.7305899669323e-09
85,3.46520793902703e-10,6.27669147832479e-09
100,4.31703638394398e-10,NaN
150,3.39044320523617e-10,NaN
200,3.79254620751999e-10,NaN
250,3.508094268441e-10,NaN
300,2.53929823393458e-10,NaN
350,2.59596112365245e-10,NaN
450,2.52559949223452e-10,NaN
550,2.34220144492733e-10,NaN
