t,ApoER2_re_Dab1_Obs,SFK_Obs,ApoER2_Dab1_released_Obs
0,-2.88119315843704e-06,0.00105696018836792,0.0128846970758419
15,6.55513813530852e-05,NaN,NaN
20,NaN,NaN,0.5266806910696
25,NaN,-0.000117299548528633,NaN
30,4.38142807494322e-05,NaN,NaN
35,NaN,NaN,0.529702882868825
45,2.88771470274802e-05,NaN,NaN
50,NaN,0.000124060654688034,NaN
55,NaN,NaN,0.484752215104238
65,1.09025569961806e-05,NaN,NaN
75,NaN,0.000396479008549246,0.351598549378034
85,6.85419145415272e-06,NaN,NaN
100,4.15726934676427e-06,0.000561788440731403,0.271542652052002
150,3.8400384962386e-06,0.000962929676409659,0.14642114315866
200,NaN,0.000929931164610405,0.128095989947235
250,NaN,0.00126511288616824,0.054525710052504
300,NaN,0.00120972935707898,0.0773063668638593
350,NaN,0.000919830116185026,NaN
