t,K27me0K36me0_Obs,K27me1K36me0_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me3K36me1_Obs
0,0.00207161313749506,0.00125052181007656,0.00181875486243076,0.201706621180312,0.00170281597867039
0.3,3.90314957442537e-06,NaN,NaN,NaN,NaN
0.65,2.06327238196422e-05,NaN,NaN,NaN,NaN
1,-6.60673116267701e-06,NaN,NaN,NaN,NaN
1.5,1.72839895265751e-05,NaN,NaN,NaN,NaN
2,1.19792913926576e-05,NaN,NaN,NaN,NaN
2.5,-1.0533197220018e-05,NaN,NaN,NaN,NaN
3,-1.91342368591602e-05,NaN,NaN,NaN,NaN
3.5,NaN,NaN,0.00201917825000357,NaN,0.0019224602139066
4,NaN,0.000777819750944328,NaN,0.20634289765828,NaN
7.5,NaN,NaN,0.00185636250881679,NaN,0.00183141426874645
8,NaN,0.000779017589615348,NaN,0.243831021892802,NaN
10,NaN,0.000886288882268679,0.00160756188709617,0.239171732020071,0.00178117654488952
15,NaN,0.00077276981653337,0.00157403110563138,0.217042442046477,0.00163190191997112
20,NaN,0.000735258010759218,0.0016129998042686,NaN,0.0014590259540303
25,NaN,0.000815813486960086,0.00151251632703762,0.266583607783688,0.00156598384958392
30,NaN,NaN,NaN,0.280138159947126,NaN
35,NaN,0.000923635482706965,0.00159568253420059,NaN,0.00146341865417143
40,NaN,0.000774613239256984,0.00165297199801977,0.272431181777114,0.00144672076265995
50,NaN,0.000867933595653424,0.00159904177566486,0.30184723329273,0.00163107571419467
60,NaN,0.000862955428164523,0.00163962567099323,0.266371266522951,0.00162388097655578
