t,STAT5B_Obs,nucpApA_Obs,Compound_1_Obs
0,60.3352685489841,19.5898750087503,187.106516554265
15,13.9382734661305,157.553300176153,NaN
25,NaN,NaN,296.391387522536
30,11.3323238073962,143.55800435827,NaN
45,12.3926310749628,125.300972449134,NaN
50,NaN,NaN,281.702354872923
60,6.33013458455141,130.79884152843,NaN
75,NaN,NaN,349.536783200159
80,13.161931646309,111.901194052214,NaN
100,22.8066765404301,105.271153068849,213.861203909803
150,21.144199889778,81.4961154245796,286.549084892415
200,24.3139517686312,45.3551659858202,314.05571047203
250,30.4657697162264,34.9629561542123,231.768662843659
300,NaN,24.3952713208999,187.075148402177
350,33.3099910787665,14.6690500853394,201.779122545326
450,NaN,NaN,212.980055120741
500,NaN,NaN,154.14522974591
600,NaN,NaN,246.507728644495
