t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,-0.000142104890059527,-2.5478714229164e-07
15,0.00313229765091156,1.6440921512015e-05
30,NaN,1.37183467329964e-05
35,0.00196240420408241,NaN
50,NaN,1.09075394879194e-05
55,0.00130790647517278,NaN
65,NaN,1.03520250254511e-05
75,0.000790114447701667,NaN
90,NaN,9.00981097937117e-06
100,0.000457697682073079,1.0345392367832e-05
150,0.000346927487018021,1.04170672389749e-05
200,9.72988184055923e-05,9.57240708572817e-06
250,3.60030437847599e-05,9.51729753286625e-06
