t,Reelin_input,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
17,0,7.00578890889538e-05,1.36074896875717e-06
17,0.00012207,3.79152773359029e-05,2.34239724780501e-06
17,0.00024414,9.02377876756544e-05,2.08593335881713e-06
17,0.00048828,-0.000149452776824565,6.91640980406881e-06
17,0.00097656,6.89719495770036e-05,7.9538003054767e-06
17,0.0019531,0.000111433334555243,9.26676154308679e-06
17,0.0039062,0.000137967990741426,9.21116593821946e-06
17,0.0078125,0.000432683706629287,1.01554107453078e-05
17,0.015625,0.000610631259923664,1.20348361667324e-05
17,0.03125,0.000914922736421245,1.46498249808974e-05
17,0.125,0.00152788043603787,1.6400440656326e-05
17,0.25,0.00192263024966591,1.63676145746005e-05
17,0.5,0.00217094913082045,1.43170490156405e-05
17,1,0.00297077743584673,1.62406970378172e-05
