t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,-1.3719171837463e-06,-0.0157780834760363
25,1.3905311571724e-06,0.204272124670657
50,3.93532328209051e-06,0.581919824623327
75,NaN,0.489221116506075
80,6.46664291871704e-06,NaN
100,5.75827652835025e-06,0.54105701650071
150,8.99487002881766e-06,0.949268075356701
200,1.22782351923925e-05,1.01425699187782
250,1.35155338974011e-05,1.11893312731754
300,NaN,1.23563583049987
350,1.54189215645051e-05,NaN
400,1.81299621099773e-05,1.53902712150217
500,1.98995546628645e-05,1.62222819460088
600,2.25283874148788e-05,1.78054265613497
