t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1_Obs
0,-1.57832935456098e-05,5.29577551208544e-07
20,NaN,9.43186689639375e-06
35,0.000517443558919978,NaN
40,NaN,1.05542164708189e-05
60,NaN,1.08942413638072e-05
75,0.000366172249813521,NaN
85,NaN,9.337746931914e-06
100,0.000296340807581999,8.96619898412861e-06
150,0.000142956665935821,9.15257398009881e-06
200,0.000124423839285367,-1.45206619674529e-05
250,5.18108511688821e-05,8.62984738199122e-06
300,NaN,9.08567651779578e-06
350,3.89774470737644e-05,7.92358200414908e-06
400,4.00317873464878e-05,8.93494317409561e-06
500,9.92612654117537e-07,8.71970657232293e-06
