t,RAF_Obs,MEK_Obs
0,1.00641212554094,0.981383197908518
0.2,1.02262493397188,NaN
0.4,0.957545386772265,NaN
0.45,NaN,0.948635358759194
0.65,0.957727524033705,NaN
0.85,0.925764602618359,NaN
0.95,NaN,0.830750766149461
1,0.961711358646085,NaN
1.5,1.00484539183063,0.971993592522817
2,1.11180147941967,1.0258170656637
2.5,1.11160041731471,1.08728268109945
3.5,0.994337555568283,1.07291519786447
4,NaN,1.0203387224663
5,NaN,1.00203333606609
6,NaN,0.980380799758287
7.5,NaN,1.08288320084435
9,NaN,1.08665796705558
