t,RAF_Obs,MEK_Obs
0,1.05323447479038,1.05544427842847
0.3,NaN,0.951792342457367
0.65,NaN,0.971312085427342
0.95,NaN,1.08126580687686
1,0.959586772208497,NaN
1.5,NaN,0.98864108864727
2,1.01676205269993,0.872501019574792
2.5,NaN,0.977871411686729
3.5,1.04251823354156,1.00009664873366
4,NaN,1.10051220613788
4.5,1.00973644153111,NaN
5,NaN,1.00810540372016
5.5,NaN,0.977016685332214
6,1.1256723042434,NaN
7.5,0.978588770998387,NaN
9.5,0.794161532237591,NaN
10,0.855925206825655,NaN
15,1.11663252317197,NaN
20,0.980607998822905,NaN
