t,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,96.3391528361132,-1.57583186417252,-0.883675455465161,-0.00320668312744459,-0.00267825223135908,-0.00895169963160933,-0.92478308519584,0.000568713691957127,0.0265141109318696,0.00999153263125735,0.816982370784392
20,6.47776592946938,71.1024169317814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0278855917421079,NaN,4.00015370243383
30,NaN,NaN,15.8101127987516,NaN,0.0511772691579525,0.0297471071738921,-0.909155530337799,0.157812192059469,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0504201524393267,NaN
40,9.81275693316635,NaN,NaN,0.120840697909473,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,45.7124641262126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4422998708782
55,NaN,NaN,NaN,NaN,0.12663724223071,NaN,NaN,NaN,0.151158089748652,NaN,NaN
60,33.681522142802,NaN,15.9714945241563,NaN,NaN,0.106234950999575,4.27668079529175,NaN,NaN,NaN,NaN
65,NaN,31.6851447635613,NaN,NaN,NaN,NaN,NaN,0.138545491819312,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.140922771752186,NaN
80,NaN,NaN,NaN,0.109544342340206,NaN,NaN,NaN,NaN,NaN,NaN,22.6750261900056
85,44.5690876228864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.145749832965355,NaN,NaN
90,NaN,22.1325160302264,13.1385776506977,NaN,0.0991261685457749,0.105817084185246,13.1425139515152,NaN,NaN,NaN,NaN
100,62.6843619391689,21.0731434366891,11.6191870145598,0.078159833066958,0.106540622053279,0.0993066018052891,16.8531903916271,0.0924502897034123,0.126181305379153,0.147218596855426,22.8631809030632
150,71.9780506770338,15.754627569525,6.89271425611541,0.052196533876521,0.0664985304392645,0.069016721406979,20.0698510737913,0.0639086713668479,0.0739406146416039,0.0770662894442477,12.031046421186
200,68.5953072299899,22.0773581544059,6.20208381880815,NaN,0.0585484595088388,0.0553303725557845,23.3775351175818,0.0892606149427207,0.054595812049627,0.0776513283995415,10.909514123602
250,56.5234537763368,25.2185784733337,7.39294438593032,0.0591888982629514,0.0615147353019432,0.0674244336499892,20.8821778642233,0.0822145518342408,0.0644169137552966,0.0665835397803091,10.6664589726913
300,68.5076609268291,20.6020139197726,7.07778642242792,0.0604298077153342,0.0545538269566933,0.0510891753522009,18.7234659505183,0.0796111330911954,0.070688502310133,0.0806981670121046,12.0637688498914
350,66.1010364514932,14.6301838637649,NaN,0.0604896128080631,NaN,NaN,18.8360450869009,0.067416772405766,0.0662335145368853,0.0804637234509807,14.9338220222515
400,NaN,18.1626255105455,8.62520413027112,NaN,0.0544586794317849,0.0574543040871015,21.0382880863718,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,0.0528854377887116,0.0460264607651491,0.0548081700718583,19.0018589640272,0.0815154124743328,0.072405664520134,0.0825234110551082,10.7509558569294
500,NaN,NaN,6.70374479590248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,0.0508628453939031,NaN,NaN,18.8887652099227,NaN,NaN,0.0672116239672402,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,15.6020332714852,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,18.8004746408308,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,18.6655840670576,NaN,NaN,NaN,NaN
