t,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,85.0069892982972,0.0267718902393766,0.000265811810560044,0.000201860096628466,0.000195581740849641,0.0117016672409992,352.645265988268
9.5,87.0223417674764,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.588782342544419,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.000286412825587176,6.81600881775464e-05,0.000232996329028595,0.0149145519289943,292.362701276516
20,80.4320132801647,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,1.06605561780377,NaN,NaN,NaN,NaN,NaN
30,100.466726545618,NaN,NaN,NaN,0.00036894835489017,NaN,357.160166953475
35,NaN,0.991981731966508,0.00111449623217173,0.000757778095882188,NaN,0.0138517261539365,NaN
40,91.6830501081187,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,0.844479684187758,0.00213443568249029,NaN,0.0010656469744445,NaN,338.003695761793
55,91.0698903456228,NaN,NaN,0.00174578146991471,NaN,0.0140144230240614,NaN
65,NaN,0.755711316854296,NaN,NaN,NaN,NaN,NaN
70,92.9243800092018,NaN,0.00240257168925316,NaN,0.00201765070282193,NaN,321.70357182682
75,NaN,NaN,NaN,0.00203249705243763,NaN,0.0143167221294521,NaN
85,92.1777745149313,0.717032573193983,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.00216939592552116,NaN,316.158655743768
95,NaN,NaN,0.00211595056824198,0.00244349075454231,NaN,NaN,NaN
100,88.4273435144247,0.505062500206882,0.00227760640649443,0.00243594791200966,0.00216519080671767,0.0155429814600337,317.996576256972
150,84.6349004681727,0.392032495971339,0.00141085865879739,0.00161031634693974,0.00167623207118409,0.0148668831159891,302.359125719999
200,99.0134771497647,0.406271489958938,0.000991561834157933,0.00131116883171933,0.00103363664682266,0.0128417650831481,333.716676474434
250,NaN,0.35361823396585,0.00104446358856207,0.00108064714484475,0.00090638542969346,0.016142545158217,NaN
300,NaN,NaN,0.000887196064363775,0.00111082905292684,NaN,0.0137885573505679,361.507663160679
