t,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,3.78135793040041,0.0468829226357226,0.000245798926045445,-9.27166006822832e-05,0.000256385822436968,0.00121323902544556,0.610660572411555
15,NaN,1.13914093688109,NaN,NaN,NaN,0.00959241986918886,1.49990721524929
20,0.708404625644748,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.776902046009272,0.00425476977048728,0.00286733846830301,0.00119137553914452,0.00302934932636104,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,1.37253653550124
35,1.17664246319189,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,0.638049421943857,NaN,NaN,NaN,0.0024107418905981,1.19231179171936
45,NaN,NaN,NaN,0.00450313046531532,0.00340939307839411,NaN,NaN
50,NaN,NaN,0.00421262470420499,NaN,NaN,NaN,NaN
55,1.47335624346504,0.584202364722186,NaN,NaN,NaN,0.00197073804180861,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.862476639350578
70,NaN,NaN,NaN,0.0038604461773454,0.00447533912069464,NaN,NaN
75,NaN,0.510882305415872,0.00342240031166908,NaN,NaN,0.00191417397870584,0.780598510070318
80,1.77581752253043,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.51164890352046,NaN,NaN,NaN,0.00201707609624502,0.567783002329971
100,1.9354919852957,0.506085210352285,0.00339454100907104,0.00318239840351617,0.0037114138215971,0.00199110577750922,0.763079131936321
150,2.2282473082577,0.592288606406389,0.00281082428799114,0.00269191522039032,0.00313911435858913,0.00166380086091581,0.784368076912422
200,2.1849318537477,0.451972626135534,0.00216561494486927,0.00279143576804866,0.00240639212276365,NaN,0.647231708816079
250,2.53365216918879,NaN,0.00283201862318964,0.00244711158074703,0.00272375783292334,NaN,NaN
300,2.50843284779958,NaN,0.00237625919636839,0.00272200086796237,0.00260932545258488,NaN,NaN
350,NaN,NaN,0.00205129219925373,NaN,0.00230518421469397,NaN,NaN
400,NaN,NaN,NaN,0.00266621194448116,NaN,NaN,NaN
