t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3_Obs
0,8.18074172482068e-05,0.000160943450421112,0.00015372501426687,0.449242603550996
6.5,NaN,NaN,NaN,0.506581435643513
15,0.000345258491976873,0.000143243702176468,NaN,0.628582438098088
20,NaN,NaN,0.000179428612563394,0.492307532490684
30,NaN,NaN,NaN,0.546697247418826
35,0.000732369629241241,0.000580403410446345,0.000434901393697311,NaN
40,NaN,NaN,NaN,0.602361773364094
50,0.000655904566380063,NaN,NaN,0.524739048423758
55,NaN,0.000539751461527019,0.000558862949454076,NaN
65,NaN,NaN,NaN,0.49790071745273
70,0.000478390432746332,NaN,NaN,NaN
75,NaN,0.000416746249356961,NaN,NaN
80,NaN,NaN,0.000503659579891315,NaN
95,0.000400834196530554,0.000385332690878496,NaN,NaN
100,0.000334470385167013,0.000369623792880652,0.000361071575706224,NaN
150,0.000300904940837608,0.000256031803263078,0.000294934424141436,NaN
200,0.000254616384442023,0.000278914915319348,0.000247306477295958,NaN
250,0.000321178736596419,0.000271889053231006,0.000282220028754165,NaN
300,NaN,0.000245900177099182,NaN,NaN
