t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.000987079805565907,0.000266247857613339,-7.9708590381814e-05,0.000880939401210432,0.0020370517310488,0.179972227208408
15,NaN,NaN,0.000122687809959164,NaN,NaN,-0.123993942634633
20,0.00450958609909158,0.00126408536216761,NaN,0.00312731449757952,0.000217551043631409,NaN
30,NaN,NaN,NaN,NaN,NaN,0.116890767993884
35,0.0101692266140271,0.00637784106777454,0.00435127913451074,0.00912462851427323,0.00618313241772505,NaN
45,NaN,NaN,NaN,NaN,NaN,1.11055564170195
55,0.0138674416243216,0.012785058307322,0.0105816580655278,NaN,0.0124529005533764,NaN
60,NaN,NaN,NaN,0.0172890689249551,NaN,1.71194675053538
75,NaN,NaN,0.0132626753123761,NaN,NaN,NaN
80,0.0108453164910064,0.0123416334918179,NaN,0.0165490539024052,0.017639221797283,2.22841195568545
100,0.0111521175473233,0.0123882335162073,0.0132025495854489,0.0159304635140339,0.0169809590500423,2.50130491005433
150,0.0089012288680429,0.0103364247260654,0.0094065133226913,0.0111876660937815,0.0108140628490758,1.8342803392312
200,0.0100115343469647,0.00828196495558447,0.00916024798414942,0.0132027030322053,0.012383730470694,1.68813006706471
250,0.00830534579550791,0.00930759827066019,0.00900552748435954,0.0106228463560364,0.011843074888726,1.70918286194735
300,NaN,NaN,0.00803459366508118,NaN,NaN,NaN
