t,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.537965759214393,0.000397026303697725,0.000365965408628306,-0.00167720804647999,-0.0646610463143147,0.00147902892249901,0.0125920555627761,0.933025909604215
6.5,NaN,NaN,NaN,NaN,-0.326712576216029,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66745907837921
10,1.76287637561928,0.00399385005619426,0.00124238217105038,-0.00861180313681784,NaN,0.0428353791517477,0.0310384838014192,NaN
15,NaN,NaN,NaN,NaN,-0.00803640266352882,NaN,NaN,NaN
20,10.6812488075964,0.0418086793479984,0.00942833070414116,0.0075145732756832,0.056881332486151,NaN,0.0115740755144068,1.89765682050238
25,NaN,NaN,NaN,NaN,NaN,0.145920283188007,NaN,1.49865812532448
30,14.0027190507256,NaN,NaN,NaN,0.753680930318828,NaN,0.0260953981298118,NaN
35,NaN,0.0906154223100557,0.0721642196365448,0.0371253434352202,-0.0105738053818216,0.187558533967794,NaN,4.68085770491282
40,18.0418382959038,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,0.117146552276299,NaN,0.0744960645891378,0.987569679409502,NaN,0.0891906196970415,NaN
50,NaN,NaN,0.11540855169239,NaN,NaN,0.167984015858924,NaN,9.52660238733001
55,16.6498861989137,NaN,NaN,NaN,NaN,NaN,0.123183411429542,NaN
60,NaN,0.128891009977957,0.117661781628119,0.105277298254724,2.33223921678722,NaN,NaN,17.0298520315229
65,NaN,NaN,NaN,NaN,NaN,0.138235896017982,NaN,NaN
70,16.4723975361805,NaN,NaN,NaN,NaN,NaN,0.16046972026271,NaN
75,NaN,NaN,NaN,0.119782141186834,6.56521945528262,NaN,NaN,22.2549203575516
80,NaN,0.128215410480872,0.117952519097259,NaN,NaN,0.126043465908211,NaN,NaN
85,12.7860078052103,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,11.7382744252521,NaN,0.150586122849077,23.3667096920654
95,NaN,0.0943587740807543,NaN,0.116989285292319,NaN,NaN,NaN,NaN
100,10.5595603466726,0.0979197901385262,0.106840074719767,0.107083891948045,14.9415039104377,0.0844258216680968,0.128746471743552,23.1508480940047
150,6.69225535601942,0.0655668031706589,0.0620681753042711,0.0704060931685441,NaN,0.0780596008714941,0.0758020919428845,14.9560245735472
200,6.97699393493204,0.0454372195067891,0.049375588141801,0.0608241516042246,NaN,0.0909129896254504,0.0665750847621698,10.4651864760902
