t,epo_level,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs
18,2.5e-09,-0.00449411630562612,0.000138445218587421,0.000180094906623705
18,2.5e-09,0.00149888036881922,-0.000213661455991013,0.000659558958152436
18,2.5e-09,0.00201509635002325,9.67802504509762e-05,-0.000261671160437277
18,7.905e-09,0.00306766448295309,0.00264939772308848,0.00063536450248607
18,1.25e-08,0.00384562579226983,0.000350248258625733,0.000855792497841453
18,1.75e-08,0.0090392432973407,0.0021661260468739,0.000814322256671905
18,2.5e-08,0.00742008645683851,0.00384519554992205,0.00110782478285679
18,2.5e-08,0.0138515940171677,0.00396323455501232,0.00123441917262375
18,2.5e-08,0.015599017663025,0.0039866616543019,0.000814382210893157
18,3.95e-08,0.0163902748901632,0.00663608550321924,0.00148067146537435
18,7.9e-08,0.0239469114638028,0.00941510691649935,0.0023914770430433
18,7.9e-08,0.0264999431521945,0.00842812091321418,0.00280644857042958
18,7.9e-08,0.027546288683185,0.00933342110967303,0.0027538126391148
18,1.25e-07,0.0284905967296795,0.0110779807049616,0.00322687210586325
18,1.25e-07,0.0323619247124907,0.0112644365656255,0.00348417233214642
18,1.25e-07,0.0366282896978774,0.0113912267675699,0.00321512055040212
18,1.7675e-07,0.0321492427000625,0.0130639271823696,0.00386793953148581
18,2.5e-07,0.0339937639848493,0.0151879607705984,0.00387916387535059
18,2.5e-07,0.0382922321752867,0.0139622017544151,0.00447050473466738
18,2.5e-07,0.0388062254199375,0.0156398151892857,0.00475350084131297
18,7.905e-07,0.0398633376752587,0.0155835735023203,0.0053640164918076
18,7.905e-07,0.0412619086812275,0.0163774712283602,0.00535204545473143
18,7.905e-07,0.04492539698744,0.0164964668273326,0.0052738252015041
18,2.5e-06,0.0437609597173682,0.0180714912117398,0.0056009825777896
