t,epo_level,SOCS3_Obs
30,2.5e-09,1.84670003950325
30,2.5e-09,2.09576883165902
30,2.5e-09,2.2677361425737
30,2.5e-08,2.13913288970036
30,2.5e-08,2.26404250873261
30,2.5e-08,2.50653335355551
30,1.25e-07,3.29414128249275
30,1.25e-07,3.29585909700431
30,1.25e-07,3.37916235460621
30,2.5e-07,3.38688444242759
30,2.5e-07,3.51860687650732
30,2.5e-07,3.55941418880672
30,1.25e-06,3.28398495527397
30,1.25e-06,3.32835890034168
30,1.25e-06,3.75052845755601
30,2.5e-06,3.34690044452386
30,2.5e-06,3.45456219713811
30,2.5e-06,4.23988383963537
