t,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3_Obs
0,3.75537264891605,-0.00973620444056556,0.00014184952087983,-0.000107490565533534,0.000221097850639803,0.0119717972271504,0.589724964236643
10,NaN,1.72255985431205,NaN,NaN,NaN,NaN,NaN
15,0.6140380128725,NaN,NaN,NaN,NaN,NaN,1.64912265728081
20,NaN,NaN,NaN,NaN,NaN,0.0191159041098839,NaN
25,NaN,0.775060843593157,0.00435814890136331,0.00308838873699397,0.00153523363119061,NaN,NaN
30,1.14617791297295,NaN,NaN,NaN,NaN,NaN,1.54540596302077
40,NaN,0.721854851090679,NaN,NaN,NaN,NaN,NaN
45,1.68503635543104,NaN,NaN,NaN,0.00345810218306483,0.00135698205738931,1.23630193134953
55,NaN,0.578061159494757,0.00392281023835972,0.0043900992183368,NaN,NaN,NaN
60,1.47693352726596,NaN,NaN,NaN,NaN,NaN,0.86205466506248
65,NaN,NaN,NaN,NaN,NaN,0.124396996002048,NaN
70,NaN,0.483685860401367,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00392489410326184,NaN,0.695749937311071
80,1.95547043899943,NaN,0.0038411338114985,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.00365471110652722,NaN,NaN,NaN
90,NaN,0.578111336944526,NaN,NaN,NaN,0.214109697685676,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,0.651159898501149
100,1.94350664221276,0.485707603850004,0.00271876362119656,0.00322675524444767,0.00364400407811273,0.248668436523464,0.83677497964073
150,2.38480921849322,0.440036033159007,0.00262776202527726,0.00306587653700915,0.00274782110460687,0.349513736542143,0.672815022505024
200,2.13027303960377,0.409933968871442,0.00282018134500333,0.00247841728473031,0.00278612513951584,0.355123410806345,0.543327059627883
250,2.75595348431911,NaN,0.00212835404417368,0.00251429259481415,0.00268261713805211,0.356329971965387,NaN
300,2.2608020199146,NaN,0.0025919880078795,0.002398469131596,NaN,0.326837636181688,NaN
350,NaN,NaN,NaN,NaN,0.00251477864537056,0.332435834793783,NaN
400,NaN,NaN,0.00248584188133525,0.00233438571264164,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,0.343359087957391,NaN
