t,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,1.49515091635254,0.00322636223974189,-0.00357146868272662,0.00317315540004199,0.00591181237786787,0.014267731860518,0.015328866470298,1.92321384198954
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.00829047933026
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.015804048542821,NaN
9,1.35207495391564,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,-0.00114814244917035,0.000178712335106017,0.00188002747209175,0.0459766874151871,0.020217742581517,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,0.0168277682990159,3.1084163314238
20,5.68899891596706,0.0251818142484038,NaN,0.00311315405988351,0.0864693795321177,0.0131323457978454,NaN,NaN
25,NaN,NaN,0.0246909650171157,NaN,NaN,NaN,0.0132781718473022,1.55542788797963
30,10.8994392872056,0.0575731984431497,NaN,0.0198270885809181,NaN,NaN,NaN,NaN
35,NaN,NaN,0.0475082337159934,NaN,0.136630858798002,0.0638771161903774,0.0348962577378027,3.24678525657604
40,11.947908559825,NaN,NaN,0.0392771356934778,NaN,NaN,NaN,NaN
45,NaN,0.0803726222538401,NaN,NaN,0.122347202735706,NaN,NaN,6.81235931261962
50,12.5822411809399,NaN,0.074204727743876,NaN,NaN,0.103671996819874,0.0794963221213939,NaN
55,NaN,0.0898458124393399,NaN,0.0635464148353033,NaN,NaN,NaN,9.46849526648442
60,11.5213140564018,NaN,NaN,NaN,0.112773832519628,0.11562898371513,0.101802727961073,NaN
65,NaN,NaN,0.0831809611332897,NaN,NaN,NaN,NaN,NaN
70,NaN,0.0873921928861375,NaN,0.0764865445966223,NaN,NaN,NaN,14.8217864954855
75,10.3115336134952,NaN,NaN,NaN,0.103012392038691,NaN,0.109663307558686,NaN
80,NaN,NaN,0.0817409022123292,NaN,NaN,0.112458145927053,NaN,16.8885383267705
85,NaN,0.0790615885473882,NaN,0.0837664381321949,NaN,NaN,NaN,NaN
90,7.08398724199188,NaN,NaN,NaN,NaN,NaN,0.111828311255589,NaN
95,NaN,NaN,NaN,NaN,0.0740704954434684,NaN,NaN,NaN
100,6.96278896879692,0.0611873265826681,0.0695491426831858,0.0743624487882129,0.0642594332247422,0.0976286553796329,0.0866373028301571,16.2214330049712
150,3.58046526746395,0.035091445589681,0.0422223542121958,0.0453083060557297,0.0365697688594661,0.0571649990949595,0.0537365665651913,9.75886135805866
200,2.96815333337274,0.0193627942135369,0.0248249151054014,0.0229708866389059,0.0323101229102878,0.0431916825016235,NaN,NaN
