t,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3nRNA4_Obs,SOCS3_Obs
0,98.8553371769458,-2.8231898246715,-0.00374414874762426,-0.00834508809406675,-0.00281801770559243,0.00797571689025243,1.08928612896747
10,15.2789768138337,80.1038825789791,NaN,-0.00431468797979688,NaN,NaN,NaN
15,NaN,NaN,0.0218898251888453,NaN,NaN,0.00963578530009139,3.04811098001731
20,NaN,68.4843307035829,NaN,0.0114751266989539,0.0106566871510349,NaN,NaN
25,1.49117634191982,NaN,NaN,NaN,NaN,NaN,3.24856663697857
30,NaN,NaN,0.0855426559033093,NaN,NaN,0.0457892437093077,NaN
35,7.46694476081001,57.6034751710034,NaN,0.0731601728791342,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,0.0516563022597769,NaN,6.02690989962769
45,NaN,46.0343075835915,NaN,0.102221450726808,NaN,0.113223862961268,NaN
50,24.9517439115416,NaN,0.124059014624925,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,13.4620509130983
60,NaN,39.2859257986369,NaN,0.118778533091543,0.112827204142037,NaN,NaN
65,33.2112100519029,NaN,0.117175994777485,NaN,NaN,0.15087184177069,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,21.3497728080229
75,NaN,32.3592783862747,NaN,0.126241420096802,NaN,NaN,NaN
85,50.6835477989808,NaN,0.118053265986743,NaN,0.127091369053677,0.160847436469848,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,23.7930267552131
95,NaN,23.7986597100276,NaN,0.113654700214016,NaN,NaN,NaN
100,62.4626018573726,16.4912100930394,0.0842043428575092,0.0883847878634768,0.116947030358934,0.127339094633097,23.1019482755857
150,70.4688220472783,18.3129992963721,0.063674898456191,0.0583663666759053,0.0608527454265088,0.0670137624278176,13.2668383825164
200,60.1831874885903,25.0087283657736,0.0273429091002387,0.0580121981655752,0.0503050689602336,0.0697305099145554,8.93213947479203
250,62.321215369662,NaN,0.0529841269532061,NaN,0.0564222112880938,NaN,10.5850146194811
300,NaN,NaN,0.0706500590511203,NaN,0.0549221824484174,NaN,10.5295271155309
