t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3_Obs
0,0.000112889205496457,0.000176013319002129,9.46003053021835e-05,0.595360298651946
7,NaN,NaN,NaN,0.530719511247358
15,0.000347697436476239,NaN,NaN,0.627963425044442
20,NaN,0.000318176288105827,0.000159958822595042,NaN
25,NaN,NaN,NaN,0.478775124991348
30,0.000754078228640069,NaN,NaN,NaN
35,NaN,0.000591392898923501,NaN,0.582246547075223
40,NaN,NaN,0.00046232189547916,NaN
45,NaN,NaN,NaN,0.555454742591402
50,0.00054418525425588,NaN,NaN,NaN
55,NaN,0.000594279591251667,NaN,NaN
60,NaN,NaN,0.000637406888065396,0.595596677037191
70,0.000414174711473863,NaN,NaN,NaN
75,NaN,0.000461372329201334,NaN,NaN
80,NaN,NaN,0.000458803016807501,NaN
90,0.000354717678377804,NaN,NaN,NaN
100,0.000292063166821697,0.000347485752697774,0.000410434938841831,NaN
150,0.000300337319707942,0.000268647610215459,0.000329767191131476,NaN
200,0.000302823213444796,0.000287937782461882,0.000288076242500865,NaN
250,0.000308120406615935,0.000233117776656011,0.000294017917151412,NaN
300,NaN,0.000305476057222985,NaN,NaN
