t,epo_level,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,SOCS3_Obs
8,0,0.000116307702962014,0.00011342460795008,0.000126474794994612,0.502133339991662
8,0,0.000102187496082259,0.000105116857552374,0.000105004755925112,0.519050983789985
8,4.2857e-08,0.000557543242672016,0.000176741721473958,0.00011223487674117,0.437078770321907
8,4.2857e-08,0.000483853890562356,0.000171269163142284,9.80544860610696e-05,0.568580881267594
8,1.4286e-07,0.000188701611071868,0.000140389601798518,0.000106806914898679,0.495666686180941
8,1.4286e-07,0.00013166310752986,0.000128222074392248,0.000111602239814889,0.487430822321758
8,4.2857e-07,0.000131803238104257,0.000121982018018496,0.000123597703793372,0.537858506920376
8,4.2857e-07,0.000122923993287145,0.0001043211977197,0.000117149634490154,0.564898129861045
8,1.4286e-06,0.000615562477111165,0.000222608815800071,0.000126427948762624,0.59497488077641
8,1.4286e-06,0.000682648861688569,0.000220968474262907,0.00013254346224004,0.607885609441013
8,4.2857e-06,0.000322714194534454,0.000145918316716837,0.000134023196538316,0.515909090012903
8,4.2857e-06,0.000293356778261716,0.000153573785294214,0.0001275623802986,0.542745584380034
8,1.4286e-05,0.000146052492950902,0.000120403263207147,0.000115778098862371,0.554347013522592
8,1.4286e-05,0.000120486547782304,0.000125379648848778,0.000124761040201284,0.569386888464543
8,4.2857e-05,0.000150099428010601,9.31410667497582e-05,0.000132740220911548,0.522836125274771
8,4.2857e-05,8.68793218243247e-05,0.000110567554529808,0.000116962991517258,0.573994926325993
