t,STAT5_Obs,pSTAT5_Obs
0,3.95490335889498,0.00956877120855958
10,NaN,1.56639187858553
20,0.704131348085659,NaN
25,NaN,0.660324125537363
35,NaN,0.83192823289289
40,0.953358938655953,NaN
50,NaN,0.683936262709554
60,1.34846042177095,NaN
65,NaN,0.631374714252114
80,1.74526903550656,0.603201409936456
100,1.90341212118725,0.54771584050935
150,1.91833362150289,0.520786718970297
200,2.20251220850033,0.62792801905322
250,1.84591783336161,0.517437362862346
300,2.28297497454013,NaN
350,2.15394126157187,NaN
