t,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHnRNA4_Obs,CIS_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,-0.000262062464030814,0.000640461596127917,-0.000917190594204002,0.07443181814922,0.00122579659609389,-0.0371937589594971
15,NaN,0.001810033778933,NaN,NaN,NaN,0.168258702654065
20,0.00476060050337153,NaN,0.00105909556128891,-0.151751737568174,0.00288702865900043,NaN
30,NaN,0.00545755204416854,NaN,NaN,NaN,0.349420379226034
35,NaN,NaN,NaN,NaN,0.00641151186224194,NaN
40,0.0124990009390499,NaN,0.00696554567800484,NaN,NaN,NaN
45,NaN,NaN,NaN,0.323860511911174,NaN,0.842839855296376
50,NaN,0.0117599703390504,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.0124745427486528,NaN
60,0.013813510806673,NaN,0.0116587961827419,NaN,NaN,NaN
65,NaN,0.0120505476057692,NaN,NaN,NaN,1.91074242873295
70,NaN,NaN,NaN,0.425847573516586,NaN,NaN
80,NaN,NaN,NaN,NaN,0.016432847135913,NaN
85,0.0114183744664958,NaN,0.0138507282532816,NaN,NaN,2.43528359243222
90,NaN,0.0131358038887557,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1.70717743587895,NaN,NaN
100,0.0113656275962261,0.0117289032379055,0.0118466145900124,1.61233465799778,0.0147801004125868,2.52546206591211
150,0.00798653966272823,0.0111453389139099,0.00909093065540584,3.07402293769083,0.010595444278849,1.66748678381128
200,0.00864403808741122,0.00896387149015744,0.00829681147091066,2.92402923980563,0.0113337755825068,1.82912999333892
250,NaN,0.00769425324585524,0.00789307958333164,2.91410055591944,0.00963481777097213,1.63179664259703
300,0.00933906396044773,NaN,0.00853282591525198,2.83019894080788,NaN,NaN
350,NaN,NaN,NaN,2.8586742666385,NaN,NaN
450,NaN,NaN,NaN,2.58713767870374,NaN,NaN
