t,epo_level,pEpoRpJAK2_Obs
10,0,0.000888693037705031
10,0,0.00098794061230366
10,4.2857e-08,0.0276216196617317
10,4.2857e-08,0.0515396612423966
10,1.4286e-07,0.111448505986703
10,1.4286e-07,0.120525113527615
10,4.2857e-07,0.307192080983014
10,4.2857e-07,0.344058193026813
10,1.4286e-06,0.417539185273122
10,1.4286e-06,0.77863157019788
10,4.2857e-06,0.698769983560441
10,4.2857e-06,1.04552486217862
10,1.4286e-05,0.603234582571939
10,1.4286e-05,0.624184367951789
10,4.2857e-05,0.620020072407858
10,4.2857e-05,0.624120656440704
