t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,0.000111321867767091,0.000988970163590938,0.013400166410256
6.5,NaN,0.56840544602938,NaN
7,0.0868366691074734,NaN,NaN
8.5,NaN,NaN,0.0151325027111069
15,0.0889334884831518,0.272564123666725,0.0108792469525203
20,NaN,0.103957915692268,NaN
25,0.0729116880061535,0.11866139289195,0.0246137970169886
30,0.0698695351284562,NaN,NaN
35,NaN,0.0975008378763186,0.0381991242075883
40,0.0917284884912092,NaN,NaN
45,NaN,0.0664571393768848,0.0672054983577797
50,0.0417286401527712,NaN,NaN
55,NaN,0.0570846294937829,NaN
60,NaN,NaN,0.0994523116692366
65,0.041569125075371,0.044850855876771,NaN
75,NaN,NaN,0.0516164360221369
80,0.0410404585857083,0.0335602022715616,NaN
90,NaN,NaN,0.0317232501418929
95,NaN,0.0299357020085189,NaN
100,0.058546229967047,0.0535231199578685,0.027799032859191
150,NaN,NaN,0.0162098511241622
