t,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,8.27262904162628e-05,0.0153909542216893
5,0.235540709506086,NaN
6,NaN,0.0101307044733793
10,0.175661745650486,0.010336968405061
15,0.103835478884793,NaN
20,0.0702687013880366,0.0163723012178473
25,0.0700475693013955,0.0224430415403915
35,0.0666184466606673,0.046864657415253
40,0.0482057400508454,0.0396755103784484
50,0.0473434688229134,0.0341230340042456
60,0.040762654276711,NaN
65,NaN,0.0619848026646514
75,0.0171199731293791,0.0370072201071073
90,0.0308036578615261,0.0306660567435988
100,NaN,0.0294048657156918
