t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,9.26323468430319e-05,0.000141355953084717,0.0154918901466314
6.5,0.0672954033411638,0.214188042819849,NaN
8,NaN,NaN,0.0118793021196998
15,0.0492093612807449,0.0880667139267993,0.0163952952746443
20,0.0476525449361804,0.0666182810940475,NaN
25,NaN,NaN,0.0243703471894067
30,0.0574487651696967,0.059641763867975,NaN
35,0.0523224768403893,0.0403922471538428,0.029511243447007
45,0.0517136561298667,0.0420102902076616,0.0343043315144016
60,0.0404593254191515,0.0307290838912856,0.0513566568568551
70,0.0546757488443953,NaN,0.0660490289323275
75,NaN,0.028154671009163,NaN
90,0.0503941718464015,NaN,0.026608668102803
95,NaN,0.0390872419914907,NaN
100,0.0339381309516261,NaN,0.0169524595500314
150,NaN,NaN,0.0138004586745836
