t,epo_level,SOCS3nRNA5_Obs
39,6.6667e-07,0.00112963974709475
39,6.6667e-07,0.00132647080655432
39,1.3333e-06,0.00167161679856399
39,1.3333e-06,0.00177290007336294
39,2.6667e-06,0.0016936834302122
39,2.6667e-06,0.00180679920898092
39,5.3333e-06,0.00120446669090919
39,5.3333e-06,0.00171784030094576
39,1.0667e-05,0.00135610690013843
39,1.0667e-05,0.00155341055930292
39,2.1333e-05,0.00156435567548639
39,2.1333e-05,0.00174541771343522
39,4.2667e-05,0.00183231005550823
39,4.2667e-05,0.00214920966302521
