t,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,0.00010218998989273,9.84263585969908e-05,0.0137533540855022
20,NaN,NaN,0.0206979551115
25,0.0497372619665307,NaN,NaN
40,NaN,NaN,0.0563450703206289
45,NaN,0.072134585607878,NaN
50,0.0548378706198848,NaN,NaN
60,NaN,NaN,0.0798394259316342
80,0.0496119174388834,NaN,NaN
85,NaN,NaN,0.0472147293394688
90,NaN,0.04299181836594,NaN
100,0.0543315968330004,NaN,0.0272093884970266
150,0.0451593276182455,0.0628706766084941,0.0177223452342363
200,0.0625473777490467,0.0497836425120492,0.0257638538644371
250,0.0451220079084478,0.0508136456241741,0.0230837786243155
350,0.0688891565845211,0.032026376093147,NaN
400,0.0529466948004615,NaN,NaN
