t,epo_level,pEpoRpJAK2_Obs
49,2.5e-09,0.0181402030090266
49,2.5e-09,0.0188431808387697
49,2.5e-09,0.0260129272214239
49,2.5e-08,0.0420239812584863
49,2.5e-08,0.042271116475125
49,2.5e-08,0.0465070649163886
49,1.25e-07,0.0471422092056402
49,1.25e-07,0.06114299820835
49,1.25e-07,0.0813993615545769
49,2.5e-07,0.0517960487350502
49,2.5e-07,0.0529868004709818
49,2.5e-07,0.0560608030015463
49,1.25e-06,0.0589597636224214
49,1.25e-06,0.0627307583232077
49,1.25e-06,0.0747128123902765
49,2.5e-06,0.0702260918697522
49,2.5e-06,0.081165365038409
49,2.5e-06,0.0881639454885173
