t,EpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,9.0290805659137e-05,0.000552861746435374
15,0.0767706611950708,NaN
20,NaN,0.00122419220824533
35,0.0741551970957915,NaN
45,NaN,0.00291412204887899
50,0.0807976300808232,NaN
70,0.0710227658842446,0.00333383241870995
90,0.0541338335450401,NaN
95,NaN,0.00253969201478544
100,0.0522355485083308,0.00192503982552409
150,0.0659376470580462,0.00153136028830121
200,0.0403899709611011,0.00141917550919938
250,0.07926113552092,0.000839317730643183
300,NaN,0.00102571875174267
