t,X_protein_Obs,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,1.74500749558049,923.977645547314,9.02033663040408,0.0952846885799981,117.321341654449,1964.92168142599,959.816147146853,1.64248244408648e-05
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.20182612550075e-20
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.50741574182908e-26
15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.72097351462561e-32
20,NaN,NaN,NaN,NaN,0.181947755678289,NaN,NaN,NaN
25,2344.47203293655,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,15744.2207341613,5.68522203022711,NaN,1.07653422179555,NaN,NaN
35,NaN,25992.3486938501,NaN,NaN,NaN,NaN,1.01083837025843,NaN
40,NaN,NaN,NaN,NaN,0.173289006841386,NaN,NaN,NaN
50,913.294974032392,NaN,NaN,NaN,NaN,NaN,NaN,4.3709520519042e-43
60,NaN,NaN,4993.92899721342,7.37441901247181,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.183723232130577,1.29191210258169,NaN,NaN
70,NaN,7184.4257329175,NaN,NaN,NaN,NaN,1.03992207206148,NaN
75,457.976366007008,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.219219735598042,NaN,NaN,NaN
95,NaN,NaN,1378.74708781962,28.5242249154739,NaN,NaN,NaN,NaN
100,269.874373574123,3195.17946708989,NaN,NaN,0.254639869403233,2.52230210691352,1.16826888227342,NaN
150,878.980918859989,1424.03250207816,308.640818218361,41.5991701986747,1.36690872274699,1.16668566792539,1.10460842768845,NaN
200,1175.72553691259,360.369974187164,637.706437239344,20.5663700395202,0.471333821063988,1.16366462278937,1.91079273611674,NaN
250,377.89318980523,619.241480558222,NaN,NaN,0.277333467349502,1.89583551091162,1.40430551430432,NaN
300,682.356210987531,NaN,373.583732077731,31.0743184721837,NaN,1.31769978560963,NaN,NaN
350,643.050260263278,428.842887878243,738.807250616389,22.8037263285952,0.38581752363099,1.32111241658159,1.7378128168401,NaN
400,NaN,712.907201758249,589.81970828213,NaN,NaN,NaN,1.29541817071471,NaN
450,666.504462690285,NaN,NaN,23.7376358636,NaN,NaN,NaN,NaN
