t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,0.163257715989516,0.20071093335782,0.192093166469001,0.02791349280194,0.0384631526738467
3,NaN,NaN,NaN,NaN,0.0405986261189173
3.5,NaN,NaN,0.176283554370212,NaN,NaN
4,0.144192411943746,0.216518656716486,NaN,0.0234967153294352,NaN
6.5,NaN,NaN,NaN,NaN,0.0494257287855047
7,NaN,NaN,0.162229091606425,NaN,NaN
8,0.210521130574119,0.207211229701507,NaN,0.0384238862868509,NaN
10,NaN,0.231391270468764,0.171519127121696,NaN,0.0506602855283428
15,0.186349244777553,0.207545883967039,0.136491237938698,0.0369502077149616,0.0368489849748944
20,0.185212574771695,NaN,0.100331408362786,0.0299108478078547,0.0395165495296174
25,0.211582564818821,0.199825343251374,0.0868203568623301,0.0305265229639716,0.0341651601100137
30,0.134573702295251,0.160869247588557,0.0912205380226322,0.029778969407944,0.0376055741281868
35,NaN,NaN,NaN,NaN,0.0356694650288456
40,0.226252848503658,0.230131859793743,0.0506134541900372,0.0284243326819135,NaN
45,NaN,NaN,NaN,NaN,0.029365599187573
50,0.219978424206628,0.205930555097849,0.0693313627895877,0.0323749503082509,0.0284837975657332
60,0.24635001812631,0.210299360948357,0.0212884189065578,0.0341219427469777,NaN
