t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs
0,7627.19999810755,-171.165335535631,-208.952060095744,577.792496322888
1.5,4442.91469855203,NaN,NaN,NaN
2,NaN,644.41543149647,NaN,NaN
2.5,NaN,NaN,NaN,377.090706829237
3.5,1894.78383592046,NaN,7.29911504290504,NaN
4,NaN,247.077823268651,NaN,NaN
5.5,436.439240610229,NaN,NaN,-24.8818794786489
6.5,NaN,542.429515263148,NaN,NaN
7,NaN,NaN,1125.59230281186,NaN
7.5,266.143146948952,NaN,NaN,NaN
8.5,NaN,NaN,NaN,186.230576331572
9,NaN,3752.96722145178,NaN,NaN
10,502.171658880715,9776.67318371866,7474.71988803477,-673.322408966074
15,198.254199247899,2140.05864463712,21798.9728959588,3054.81952971774
20,NaN,-218.118528412673,11609.8244871948,3871.6480615147
25,NaN,170.365685232516,5253.57372447958,5182.13081475602
30,NaN,NaN,6717.35703254764,NaN
35,NaN,NaN,4973.81756288326,5433.31842834496
40,NaN,NaN,NaN,5266.44352042134
45,NaN,NaN,3514.16900199036,5585.602444669
55,NaN,NaN,1549.24072351815,5400.10474405509
70,NaN,NaN,NaN,6673.39696990293
