t,IR_Obs,IRp_Obs,IRiP_Obs
0,9.9405793430003,1.58907111643565e-08,2.83548451960958e-05
2.5,NaN,1.09629589908646e-06,NaN
3,-0.10682663192636,NaN,NaN
4.5,NaN,NaN,0.000387575802865852
5,NaN,8.94087228597475e-07,NaN
6.5,-0.0659011862740642,NaN,NaN
8,NaN,7.93307507992579e-07,NaN
9,NaN,NaN,0.000375061337090507
10,0.227887514073615,6.83142507530937e-07,NaN
15,0.0894936442502843,5.74434726653794e-07,0.000288845347069231
20,0.188552960785483,4.3183381589541e-07,0.00023900839317715
25,0.0543220745118041,4.20485831971834e-07,0.000234487703149448
30,NaN,3.47648034687185e-07,NaN
35,NaN,NaN,0.000252325111972118
40,NaN,2.47524955630893e-07,0.000182820498301666
45,NaN,3.83874603732833e-07,NaN
50,NaN,NaN,0.000171948836035585
65,NaN,NaN,0.0001837551815599
