t,Epo_EpoR_i_Obs,dEpo_i_Obs
0,-1.50632601971725,-10.6064955192153
25,224.42508666891,NaN
30,NaN,-27.0786101343882
45,623.605337392558,NaN
60,NaN,36.6717971331812
70,676.290469270546,NaN
90,NaN,-0.8952353898365
95,639.60810517428,NaN
150,570.542815614893,80.0078056528616
200,428.343483680697,94.0469153349162
250,309.311302831957,146.927921095784
300,226.510967980912,132.523064104404
350,NaN,143.46673311707
400,198.872626251105,NaN
450,-28.8867168908701,188.143131975827
500,-64.5313796960257,NaN
550,NaN,161.063947600365
650,NaN,160.890984392516
