t,pRAF_Obs,ERK_Obs
0,1.99705880849178e-05,1.06869168457036
0.5,NaN,0.924453904520163
0.65,0.000132722986015121,NaN
1,NaN,1.05694978884366
1.5,9.90546690713725e-05,0.979546438449755
2,8.50692407325952e-05,0.92449730489511
3,7.05314321638205e-05,1.04061290168327
4,6.27517031864117e-05,0.881809180852979
4.5,NaN,0.995814971758976
5,6.76188629888582e-05,NaN
6,6.5922874431773e-05,0.992717098061018
7,NaN,0.912961217655367
7.5,5.93906622399608e-05,NaN
8.5,NaN,1.04237074716747
9.5,6.19858157519278e-05,NaN
