t,pRAF_Obs,ERK_Obs
0,1.39657996054196e-05,1.01705787395738
0.45,NaN,0.904282293424811
0.95,NaN,0.862080245237662
1.5,NaN,0.94903929949831
2,6.65792210608158e-05,0.974164105328929
2.5,NaN,0.977587545894327
3.5,NaN,0.89574320762773
4,3.9885022330577e-05,0.993189630756639
5,NaN,0.992834884075026
6,NaN,0.9763305229528
6.5,3.09812877227606e-05,NaN
7.5,NaN,0.96454547437893
9,3.35135567619957e-05,NaN
10,3.15307414439997e-05,NaN
15,3.39003998768376e-05,NaN
20,3.29787337581239e-05,NaN
25,3.35480092153811e-05,NaN
