t,K27me0K36me0_Obs,K27me1K36me0_Obs,K27me2K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00284510536265658,0.00128892083452055,0.021103597315741,0.00214419248444099,0.0025315894351624
0.45,-1.81964633726579e-05,NaN,NaN,NaN,NaN
0.95,-2.77327595937181e-05,NaN,NaN,NaN,NaN
1.5,2.43461520756244e-05,NaN,NaN,NaN,NaN
2,-2.86134052823881e-05,NaN,NaN,NaN,NaN
2.5,0.000124602340427932,NaN,NaN,NaN,NaN
3,NaN,NaN,0.018276271103439,NaN,0.00253042668196358
3.5,3.25562213620142e-05,0.000750210329822076,NaN,0.00306697539591309,NaN
4.5,0.000194254495046841,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,NaN,0.0032266220348294
6.5,NaN,NaN,0.0148372171572597,NaN,NaN
7,NaN,0.000722587490229016,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.00371659817292797,NaN
9,NaN,NaN,NaN,NaN,0.00240699403153321
10,NaN,0.000567489291315059,0.0158914305405987,0.00341612880257555,NaN
15,NaN,0.000685203980859597,0.00789671785228559,0.00322297598872812,0.00234018818251584
20,NaN,0.000579928599089462,0.0156660783160107,0.00309775299048538,0.00220255650748706
25,NaN,0.000506955205876914,0.0184518360865719,0.0044800879729915,0.0026364706819961
30,NaN,0.000474671292020657,0.0110391399673804,NaN,0.00227043112506598
35,NaN,0.000714559931705352,0.0135680664329638,0.00312849566846705,0.00256394196059259
40,NaN,NaN,0.0147086893390165,0.00359504214518772,NaN
45,NaN,0.000731842957275899,NaN,NaN,0.00114057707280608
50,NaN,0.000711935448496405,0.0139978217236166,0.00366223703723416,0.00213848586872387
60,NaN,0.00077687600094783,0.0118445179913751,0.00450726760983802,0.00228142362364125
