t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0,0.00110922343377109,0.00923851405387128,0,1.20085993519912,1.35786028719188,7.19784287700448e-07,7.51603444624956e-07,9.6290259535897e-07
15,NaN,NaN,NaN,NaN,NaN,156.351019097096,NaN,NaN,NaN
20,0.200541496262285,NaN,NaN,1977.27535612795,749.885785036659,NaN,NaN,NaN,NaN
25,NaN,NaN,29.6128821326188,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,790.332130195931,NaN,NaN,NaN
35,NaN,0.132360533818295,NaN,NaN,NaN,NaN,0.000773420158691276,NaN,NaN
40,NaN,NaN,NaN,NaN,1308.25029332168,NaN,NaN,0.000535690351333634,0.000590795926568925
45,0.25835486382065,NaN,12.4443109896538,1031.40289084097,NaN,1191.72694327821,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,995.737308815922,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,1477.72671591234,NaN,NaN,NaN
70,0.136947504500402,NaN,NaN,457.803476473827,NaN,NaN,0.000310533719549936,NaN,NaN
75,NaN,0.189883006833958,11.5425173595179,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000294078447144682,0.000233988091343276
85,NaN,NaN,NaN,NaN,929.80882620162,923.466381538027,NaN,NaN,NaN
95,0.13410249666219,NaN,NaN,711.23614107207,NaN,NaN,NaN,NaN,NaN
100,NaN,0.127821320461686,7.67346262605383,NaN,760.600846912072,841.903437820961,0.000295947230072172,0.000254646240573661,0.000265134313059431
150,0.153289951877665,0.126948592569693,2.75804786185011,304.599554051907,523.510988051152,323.262334934783,0.000277497648059895,0.000189112814829144,0.000127725566667264
200,0.132054359509105,0.114685958413277,4.95331048114495,517.913150946506,297.033399580951,375.586643302388,0.000202805483818458,0.000157865691654758,0.000177122734654256
250,0.121006428898447,0.15832778574438,3.14280707262049,344.551716733754,250.013792449105,NaN,0.000167060866412854,NaN,NaN
300,0.151758496792467,NaN,5.77623540513692,NaN,285.534452747213,NaN,0.000113514650019466,0.00019673723381852,0.000180406644307661
350,0.178809345967839,0.171583136090948,NaN,265.723304163558,NaN,NaN,NaN,0.000151421832892912,8.9453146653176e-05
400,NaN,0.194962542285684,4.65309042348837,NaN,NaN,NaN,0.000149792906512263,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,0.000228166071704212,0.000109498120873866,0.000147056549521022
500,NaN,0.16424575291047,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000168491876003943,NaN
600,NaN,0.178193266085574,NaN,NaN,NaN,NaN,NaN,NaN,NaN
