t,epo_level,pSTAT5_Obs
51,2.5e-09,1.55697752069526
51,2.5e-09,1.68293721725899
51,2.5e-09,1.96409449355486
51,2.5e-08,4.35235292474571
51,2.5e-08,7.15266061169446
51,2.5e-08,8.14163958561724
51,1.25e-07,10.6631296778274
51,1.25e-07,12.1773411327886
51,1.25e-07,13.8157676111967
51,2.5e-07,11.0654273142346
51,2.5e-07,15.3512445226222
51,2.5e-07,15.3897404211962
51,1.25e-06,17.7940367788786
51,1.25e-06,18.320332625412
51,1.25e-06,19.7010212656274
51,2.5e-06,19.2662594403565
51,2.5e-06,20.8230979308644
51,2.5e-06,22.6895625174865
