t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,p2EpoRpJAK2_Obs
0,0,0.000835488984908215,0.111119991979539,0
10,0.237624838238146,NaN,NaN,0.293780392289502
15,NaN,0.095971100090341,59.8494698215337,NaN
20,NaN,NaN,NaN,0.108903796732449
25,0.19566578653004,NaN,NaN,NaN
30,NaN,0.133902540705693,33.1771835015166,0.0809471428992836
35,0.174948838716573,NaN,NaN,NaN
45,NaN,0.132135523684443,16.092623823094,0.071348654739106
50,0.183626558701431,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0715752243805623
60,NaN,0.190317766541571,25.8216163855546,NaN
65,0.155522433613402,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0708743332249693
80,NaN,0.115703246589313,14.3368868787381,NaN
85,0.119660509324616,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0623763474780899
100,0.230909631363536,0.15262141316272,14.7130418567371,0.0626541730992543
150,0.174203602900324,0.144510682342365,7.3825236316168,0.0559790132903376
200,0.18494923900518,0.283875638654609,12.4046657124468,NaN
250,NaN,NaN,12.787277790896,NaN
